Article_ID,Date,Title,Summary,Topic_2digit
8321,10/31/1998,THE 1998 CAMPAIGN: CALIFORNIA;,Overview of 1998 campaign in California,20
8322,10/31/1998,'Hacktivists' of All Persuasions Take Their Struggle to the Web,Several groups have began to use computer hacking as a means to a political end,17
8323,10/31/1998,Wealthy Nations Back Plan To Speed Help to the Weak,Leading nation's endorse proposal to help prtoect vulnerable nations from financial crisis,19
8324,10/31/1998,ECONOMIC GROWTH SURPRISINGLY SOLID IN THIRD QUARTER,America's economy is holding up better than experts expected,1
8325,10/31/1998,With a Few Days to Go,Clinton attends rally for Representative Shumer's campaign,20
8326,10/31/1998,IN THE CAMPAIGNS,1998 Campaigns overview,20
8327,10/31/1998,42d St. Revival May Alter Face Of Theater Row,New theaters to be built along West 42nd Street's Theater Row,28
8328,11/1/1998,An Angel Among the Ghosts and Goblins,halloween parade,28
8329,11/1/1998,Hoffa Moves Closer To Life's Ambition,teamsters presidency campaign,5
8330,11/1/1998,"At Stake, Clinton Fate",midterm elections and the lewinsky scandal,20
8331,11/1/1998,"For One-Child Policy, China Rethinks Iron Hand",one child policy in china,19
8332,11/1/1998,THE 1998 CAMPAIGN: THE OVERVIEW;,midterm elections,20
8333,11/1/1998,"In New Challenge to the U.N., Iraq Halts Arms Monitoring",arms inspections in iraq,16
8334,11/1/1998,THE 1998 CAMPAIGN: THE SENATE;,new york senate campaign,20
8335,11/1/1998,WHEN ABUSE WEARS BLUE: A special report.;,domestic violence among police officers,12
8336,11/1/1998,DNA Test Finds Evidence Of Jefferson Child by Slave,thomas jefferson fathered a child with a slave,2
8337,11/2/1998,He'll Take the High Road,new york marathon,29
8338,11/2/1998,THE 1998 CAMPAIGN: THE CAMPAIGNS;,midterm elections,20
8339,11/2/1998,"In a Boneyard for Paupers, Signs of Honor and Respect",graveyard in new orleans,99
8340,11/2/1998,SPECIAL TODAY: THE NEW YORK CITY MARATHON,NYC marathon,29
8341,11/2/1998,THE 1998 CAMPAIGN: THE SENATE;,senate campaign,20
8342,11/2/1998,THE 1998 CAMPAIGN: THE OVERVIEW;,midterm elections,20
8343,11/2/1998,IN THE CAMPAIGNS,midterm election stories,20
8344,11/2/1998,"Flood Toll Estimate Rises Above 1,000 In Central America",floods in central america,26
8345,11/2/1998,Part-Time Work for Some Adds Up to Full-Time Job,part time work,5
8346,11/3/1998,Kosovo's Health System Dies And Civilians Are Casualties,health system problems in kosovo,19
8347,11/3/1998,"OFFICIALS PREDICT HURRICANE'S TOLL WILL EXCEED 7,000",hurricane toll in central america,26
8348,11/3/1998,Boston Leading a Renewal of Old Northern Cities,development in boston,14
8349,11/3/1998,THE 1998 CAMPAIGN: THE ELECTORATE;,voter apathy in the midterm elections,20
8350,11/3/1998,THE 1998 CAMPAIGN: THE OVERVIEW;,midterm election campaigning,20
8351,11/3/1998,MICROSOFT ON TRIAL: THE TRIAL;,microsoft antitrust trial,15
8352,11/3/1998,IN THE CAMPAIGNS,midterm election campaigns,20
8353,11/4/1998,THE 1998 ELECTIONS: THE MESSAGE -- NEWS ANALYSIS;,midterm elections,20
8354,11/4/1998,THE 1998 ELECTIONS;,california governor election,24
8355,11/4/1998,THE 1998 ELECTIONS: THE NATION -- THE OVERVIEW;,midterm elections,20
8356,11/4/1998,THE 1998 ELECTIONS: THE NATION -- THE SOUTH;,governor races in the south,24
8357,11/4/1998,THE 1998 ELECTIONS: NEW YORK STATE -- THE SENATE;,ny senate election,20
8358,11/5/1998,RUSSIA CANNOT PAY ITS FOREIGN DEBTS,russian government in debt,19
8359,11/5/1998,Metro and Sports In Section D Today,section changes,99
8360,11/5/1998,SAUDI IS INDICTED IN BOMB ATTACKS ON U.S. EMBASSIES,saudi bomb attack trial,19
8361,11/5/1998,THE 1998 ELECTIONS: CONGRESS -- THE REASONS;,midterm election results,20
8362,11/5/1998,Hondurans Sift A Storm's Debris,hurricane aftermath in honduras,26
8363,11/5/1998,Netanyahu to Submit Pact to His Cabinet,israeli withdrawal from west bank,19
8364,11/5/1998,The Full Results,election results,20
8365,11/5/1998,THE 1998 ELECTIONS: THE STATES -- THE MAVERICK;,jesse ventura elected governor,24
8366,11/5/1998,THE 1998 ELECTIONS: CONGRESS -- THE OVERVIEW;,republican bickering after the midterm elections,20
8367,11/5/1998,THE 1998 ELECTIONS: THE CONGRESS -- NEWS ANALYSIS;,presidential election preview,20
8368,11/6/1998,"For Nicaraguan Victims, Not Even a Grave",aftermath of a hurricane,26
8369,11/6/1998,Judiciary Chairman Asks Clinton To Admit or Deny 81 Findings,clinton impeachment inquiry,20
8370,11/6/1998,THE 1998 ELECTION: BLACKS;,black vote in the south,20
8371,11/6/1998,Scientists Cultivate Cells at Root of Human Life,stem cell research,3
8372,11/6/1998,Tests May Underrate Women's AIDS Risk,AIDS research,3
8373,11/6/1998,"U.N., Avoiding Talk of Force, Criticizes Iraq on Arms Team",UN inspections for weapons in iraq,16
8374,11/6/1998,THE 1998 ELECTION: THE LEADERS;,campaign for house leadership positions,20
8375,11/7/1998,COMING ON SUNDAY: LET'S PUT ON A SHOW,theater revival,28
8376,11/7/1998,Barnes &amp; Noble Rattles Industry By Buying Top Book Wholesaler,barnes and noble buys another bookseller,15
8377,11/7/1998,MOYNIHAN SAYS HE WON'T RUN AGAIN FOR SENATE SEAT,NY senator will not run again,20
8378,11/7/1998,Fans' Hoop Dreams Tainted by N.B.A. Rift,basketball labor dispute,29
8379,11/7/1998,24 in Jerusalem Injured by Blast From Car Bomb,explosion in jerusalem,19
8380,11/7/1998,THE SPEAKER STEPS DOWN: THE OVERVIEW;,newt gingrich steps down as speaker,20
8381,11/7/1998,THE SPEAKER STEPS DOWN: THE CAREER;,end of newt gingrich's term as speaker,20
8382,11/8/1998,THE SPEAKER STEPS DOWN: THE OVERVIEW;,newt gingrich steps down as speaker,20
8383,11/8/1998,Richest Race Won By Awesome Again,horse race,29
8384,11/8/1998,"Facing Oblivion, Rust-Belt Giants Top Russian List Of Vexing Crises",economic changes in russia,19
8385,11/8/1998,THE 1998 CAMPAIGN: SENATE;,ny senate campaign,20
8386,11/8/1998,U.S. SET TO GIVE UP ARMS INSPECTIONS FOR CURBING IRAQ,arms inspections in iraq,16
8387,11/8/1998,"Glenn Back on Ground, Head Still Above Clouds",glenn returns from space,17
8388,11/8/1998,THE SPEAKER STEPS DOWN: THE PROFILE;,newt gingrich resigns as speaker,20
8389,11/9/1998,2 U.S. Options For Iraq Strike: Swift or Larger,clinton weights options on iraq,16
8390,11/9/1998,"As Dalai Lama Woos Beijing, Tibetans Pray for His Return",dalia lama talks with the chinese,19
8391,11/9/1998,Nigerians Lurching Toward Democracy,democracy in nigeria,19
8392,11/9/1998,Lawmaker Claims to Have The Speaker's Job Sewn Up,new speaker of the house,20
8393,11/9/1998,A Move for Pragmatism,new house speaker,20
8394,11/9/1998,A RISING MOVEMENT CITES PERSECUTION FACING CHRISTIANS,persecution of christians,2
8395,11/9/1998,Jets Maintain Tie for First Place,NY jets football,29
8396,11/9/1998,WHEN NATURE RAGES: A special report.;,hurricane in central america,26
8397,11/10/1998,"Expectation Aside, Water Use in U.S. Is Showing Decline",water use declines,21
8398,11/10/1998,Muslim Schools in U.S. a Voice for Identity,muslim schools in the US,31
8399,11/10/1998,DEATH BY ARSENIC: A special report.;,poison wells in bangladesh,19
8400,11/10/1998,TESTING OF A PRESIDENT: THE PRESIDENT;,clinton financing scandal,20
8401,11/10/1998,SUPREME COURT ROUNDUP;,supreme court ruling on school vouchers,6
8402,11/10/1998,"Robert Livingston, The Heir Apparent With a Black Belt",new speaker of the house,20
8403,11/10/1998,TESTING OF A PRESIDENT: THE CONSTITUTION;,impeachment debate and constitutionality,20
8404,11/10/1998,THE SPEAKER STEPS DOWN: THE OVERVIEW;,new speaker of the house,20
8405,11/11/1998,Israeli Cabinet Is Set To Ratify Agreement,israeli cabinet ratifies a new accord,19
8406,11/11/1998,Effort to Halt Blinding Disease Worldwide With Single-Dose Drug,drug that cures some blindness,3
8407,11/11/1998,Corporate Delete Keys Busy As E-Mail TurnsUp in Court,deleting old emails at companies,15
8408,11/11/1998,REPUBLICANS FEUD ON HOW TO HANDLE INQUIRY ON CLINTON,clinton inquiry and the republicans,20
8409,11/11/1998,"After Malaise, a New Mood in Nation's Capital",DC issues,20
8410,11/11/1998,BUDDHA VS. BEIJING: A special report.;,china and tibet,19
8411,11/11/1998,C.I.A. CHIEF VOWED TO QUIT IF CLINTON FREED ISRAELI SPY,CIA chief threatened to quit over a spy,16
8412,11/11/1998,Jurors Convict Youth in Killing Of His Teacher,student convicted in killing of a teacher,12
8413,11/12/1998,"With Conditions, Israel Cabinet Approves Accord",israeli cabinet approves land for peace accord,19
8414,11/12/1998,"As Bombay Piles Up Wealth, Gangsters Get Their Cut, Too",gangsters in india,19
8415,11/12/1998,POLITICAL MEMO;,house republican leadership battles,20
8416,11/12/1998,Argentina Joins War On Global Warming,argentina signs global warming treaty,19
8417,11/12/1998,"After Storm, Immigrants Fear Returning May Strand Them",immigrants and hurricane mitch,26
8418,11/12/1998,CLINTON IS SENDING BOMBERS AND G.I.'S TO PERSIAN GULF,clinton orders forces to the persian gulf,16
8419,11/12/1998,Researchers Claim Embryonic Cell Mix Of Human and Cow,stem cell research,3
8420,11/12/1998,A Time to Remember U.S. Troops,remembering fallen US troops on veterans day,16
8421,11/13/1998,A Failure to Verify A Cancer Advance Is Raising Concern,cancer research,3
8422,11/13/1998,U.S. SIGNS A PACT TO REDUCE GASES TIED TO WARMING,US signs global warming pact,7
8423,11/13/1998,The Chairman of the Board Is Now Big Man on Campus,frank sinatra at a college,6
8424,11/13/1998,Homelessness Tests San Francisco's Ideals,homelessness in san francisco,14
8425,11/13/1998,Israel Seeks Bids for Housing Opposed by Jerusalem Arabs,israel looks for housing for arabs,19
8426,11/13/1998,"In Central America, Economies in Ruins",central american economies devastated by a hurricane,26
8427,11/13/1998,"AS TENSION GROWS, FEW VOICES AT U.N. SPEAK UP FOR IRAQ",UN and iraq,19
8428,11/13/1998,Brazil Is to Get I.M.F. Package For $42 Billion,IMF loans for brazil,19
8429,11/14/1998,COMING ON SUNDAY: A CROWDED PICTURE,movies,28
8430,11/14/1998,WHEN THEORY MET REALITY: A special report.;,economists who won the nobel prize for investments,1
8431,11/14/1998,TESTING OF A PRESIDENT: THE LAWSUIT;,clinton pays paula jones after a lawsuit,20
8432,11/14/1998,"Saudi Was Target In Raid, U.S. Says",US attack targets bin laden,16
8433,11/14/1998,TESTING OF A PRESIDENT: THE FRIEND;,whitewater investigation,20
8434,11/14/1998,CIGARETTE MAKERS AND STATES DRAFT A $206 BILLION DEAL,settlement over cigarettes,3
8435,11/14/1998,CLINTON SAYS IRAQ CAN AVERT ATTACK BY GIVING IN TO U.N.,clinton asks iraq to submit to arms inspections,16
8436,11/14/1998,"Student Protest in Indonesia Explodes in Violence, and 8 Are Killed",student protest in indonesia turns violent,19
8437,11/15/1998,AIDS Stalking Africa's Struggling Economies,AIDS and african economies,19
8438,11/15/1998,Ethics of Research,stem cell research,3
8439,11/15/1998,Ethnic Albanians Recount Massacre of a Family in Kosovo,massacre in kosovo,19
8440,11/15/1998,U.S. Says It Was Just Hours Away From Starting Attack Against Iraq,US close to attacking iraq,16
8441,11/15/1998,Tobacco Agreement Skirts Regulatory Concerns,tobacco agreement,3
8442,11/15/1998,IRAQ OFFERS STEPS TO AVOID ATTACK; U.S. REJECTS PLAN,iraq tries to avoid US attack,16
8443,11/15/1998,"As College Costs Increase, Scholarship Fraud Follows",scholarship costs in college,6
8444,11/16/1998,Using Visits to Israel To Win Young Jews,program getting jews to visit israel,31
8445,11/16/1998,Jets Let One Slip Away,nfl football,29
8446,11/16/1998,SOVEREIGN ISLANDS: A special report.;,crimes on cruise ships,10
8447,11/16/1998,OUTPOST IN SPACE;,building of international space station,17
8448,11/16/1998,Rising Congressional Leader Experienced in Self-Defense,rep JC watts,20
8449,11/16/1998,Either War or Peace: A Vocabulary Guide,iraq arms inspections talks,16
8450,11/16/1998,CRISIS WITH IRAQ: NEWS ANALYSIS;,analysis of showdown over iraq arms inspections,16
8451,11/16/1998,JAPAN ANNOUNCES $195 BILLION PLAN TO REVIVE ECONOMY,japan trying to fix economy,19
8452,11/16/1998,CRISIS WITH IRAQ: THE OVERVIEW;,iraq arms inspection crisis,16
8453,11/17/1998,"Reaching Out to Opponents, Pragmatist Wins Over House",bipartisanship in the house,20
8454,11/17/1998,"GORE, IN MALAYSIA, SAYS ITS LEADERS SUPPRESS FREEDOM",al gore talks in malasia,19
8455,11/17/1998,CRISIS WITH IRAQ: THE OVERVIEW;,weapons inspections in iraq,16
8456,11/17/1998,CRISIS WITH IRAQ: HOUR BY HOUR;,arms inspection crisis in iraq,16
8457,11/17/1998,"Back on Earth, but Riding High",john glenn honored,17
8458,11/17/1998,Livery Cabs Get the Blame For Increase in Accidents,increases in taxi accidents,10
8459,11/17/1998,Diana's Biographer And ABC's Walters Get Lewinsky Deals,lewinsky to interview with abc news,20
8460,11/17/1998,TESTING OF A PRESIDENT: LEGAL ISSUES;,clinton and perjury,20
8461,11/18/1998,SPECIAL TODAY: Giving,philanthopy,99
8462,11/18/1998,Little Changed Except Mood,interest rate cut,1
8463,11/18/1998,THE TESTING OF A PRESIDENT: THE TRIPP TAPES;,tripp tapes released,20
8464,11/18/1998,THE MARKETS;,fed cuts interest rates,1
8465,11/18/1998,Dinosaur Embryos With Detailed Skin,dinosaur embryo found,17
8466,11/18/1998,THE TESTING OF A PRESIDENT: THE INDEPENDENT COUNSEL;,ken starr to testify on clinton,20
8467,11/18/1998,Deal on City Budget Ends Tax Surcharge,city budget deal,24
8468,11/18/1998,THE HIDDEN CITY: A special report.;,russian nuclear centers struggle,16
8469,11/18/1998,"Without Joy, Netanyahu Wins Vote to Adopt Peace Agreement",israeli parliament approves a peace plan,19
8470,11/18/1998,Microsoft Told to Stop Shipments Of Software at Issue in Rival's Suit,microsoft antitrust,15
8471,11/19/1998,West's Medicine Is Raising Bills For China's Sick,drug prices in china,19
8472,11/19/1998,A Slave of Smoke in an Anti-Smoke Land,smokers,3
8473,11/19/1998,THE REPUBLICAN TRANSITION: THE OVERVIEW;,republican house leadership,20
8474,11/19/1998,"Immunity at U.N. Covers Divorce, Ex-Wives Find",divorced spouses of UN employees,19
8475,11/19/1998,Even U.S. Sees Iraq Opposition As Faint Hope,US to support iraqi opposition,16
8476,11/19/1998,Doubts Among Republicans,impeachment and house republicans,20
8477,11/19/1998,TESTING OF A PRESIDENT: THE OVERVIEW;,starr to accuse president,20
8478,11/19/1998,Patriots Are Set to Announce Move to Downtown Hartford,patriots moving to hartford,29
8479,11/20/1998,Handshake on Deal to Move Patriots to Hartford,patriots to move to hartford,29
8480,11/20/1998,Inquiry Is Reported Into Contract Votes In Municipal Union,inquiry into union vote,5
8481,11/20/1998,"Over All, He's Most Valuable",NL mvp award,29
8482,11/20/1998,"China, a Land of Heavy Smokers, Looks Into Abyss of Fatal Illness",smoking in china,19
8483,11/20/1998,Israel's Right Wing Turns From Fury to Resignation,israeli right wing,19
8484,11/20/1998,TESTING OF A PRESIDENT: NEWS ANALYSIS;,ken starr testimony,20
8485,11/20/1998,TESTING OF A PRESIDENT: THE DEFENSE;,clinton's defense,20
8486,11/20/1998,TESTING OF A PRESIDENT;,ken starr testimony,20
8487,11/20/1998,TESTING OF A PRESIDENT: THE OVERVIEW;,house panel hears impeachment testimony,20
8488,11/21/1998,COMING ON SUNDAY: A GOOD LAST PLACE,nursing homes,3
8489,11/21/1998,Discord Turns Academe's Hot Team Cold,duke english department falling apart,6
8490,11/21/1998,TESTING OF A PRESIDENT: THE OVERVIEW;,kenn starr ethics adviser resigns,20
8491,11/21/1998,BAGHDAD DISRUPTS ARMS INSPECTIONS,arms inspections disrupted in iraq,16
8492,11/21/1998,Palestinians Celebrate Israeli Exit,israelis exit the west bank,19
8493,11/21/1998,TESTING OF A PRESIDENT: NEWS ANALYSIS;,starr testimony,20
8494,11/21/1998,GERMAN DEAL SEEN FOR NO. 8 U.S. BANK,deutsche bank to buy an american bank,15
8495,11/21/1998,REMAINING STATES APPROVE THE PACT ON TOBACCO SUITS,states approve pact on tobacco,3
8496,11/21/1998,Steinbrenner Is Said to Be Close To Sale of Yankees to Cablevision,yankees to be sold,29
8497,11/22/1998,Killing Shocks Russia,reformer killed in russia,19
8498,11/22/1998,Reno Moves Closer To First Decision Over Fund-Raising,reno close to decided about a counsel to investigate gore fundraising,20
8499,11/22/1998,Nigeria Combustible as South's Oil Enriches North,nigeria conflicts,19
8500,11/22/1998,A GOOD LAST PLACE -- A special report;,home for elderly in seattle,3
8501,11/22/1998,Shrinking Network TV Audiences Set Off Alarm and Reassessment,network tv audiences shrink,17
8502,11/22/1998,"In Catskills, Resort's Death Darkens the View",resort closes in the catskills,15
8503,11/22/1998,Clinton Appeals To North Korea For Closer Ties,clinton wants better ties with north korea,19
8504,11/23/1998,"Happy Birthday, From Mr. President",clinton talks to a soldier in the korean DMZ,19
8505,11/23/1998,White House Renews Push for Impeachment Deal,white house wants a deal over impeachment,20
8506,11/23/1998,"In Prison for Three Decades, Man Is Rid of Bars, Not Fears",man released from prison after 30 years,12
8507,11/23/1998,Turning Over Some Old Leaves,kids playing with leaves,99
8508,11/23/1998,Pentagon Ready to Shrink Arsenal of Nuclear Bombs,pentagon to shrink number of nukes,16
8509,11/23/1998,NETSCAPE BID SEEN BY AMERICA ONLINE,AOL may buy netscape,15
8510,11/23/1998,IRAQ RATCHETS UP RENEWED DEFIANCE OVER INSPECTIONS,iraq defies arms inspections,16
8511,11/23/1998,A Steinbrenner Twist,potential sale of the yankees,29
8512,11/23/1998,Vote in Quebec May Be Last Fling With Secession,quebec to vote on secession,19
8513,11/24/1998,Iraq Gets Reprieve as U.S. Tries Policy of Patience,iraq inspections,16
8514,11/24/1998,A Hospitalized Yeltsin Keeps On Working,boris yeltsin hospitalized,19
8515,11/24/1998,Clintons' Friend Found Not Guilty Of All 9 Embezzlement Charges,clinton friend found not guilty,20
8516,11/24/1998,THE MARKETS: Market Place;,market rally,1
8517,11/24/1998,Odd Couple of Cyberspace,aol may buy netscape,15
8518,11/24/1998,"Long a Leader, U.S. Now Lags In High School Graduate Rate",US high school graduation rate lags,6
8519,11/24/1998,Conquering the Internet,AOL may buy netscape,15
8520,11/24/1998,UNION CHIEF SAYS VOTES WERE FAKED ON CITY CONTRACT,union votes faked in NYC,5
8521,11/24/1998,Reno's Aides Split on Merits Of Need for Gore Prosecutor,reno aides and a prosecutor for gore,20
8522,11/25/1998,Palestinians Walking on Air At Opening of Gaza Airport,opening of airport in gaza,19
8523,11/25/1998,Russia's Final Salute to a Slain Lawmaker,russia salutes a killed lawmaker,19
8524,11/25/1998,New Data Show That Economy Remains Strong,economy data,1
8525,11/25/1998,"10 Million Playpens Have Deadly Flaw, U.S. Warns Public",flaw in playpens,15
8526,11/25/1998,RENO ENDS INQUIRY INTO FUND-RAISING BY VICE PRESIDENT,reno ends fund raising inquiry,20
8527,11/25/1998,DEAL IS CONCLUDED ON NETSCAPE SALE TO AMERICA ONLINE,netscape sold to AOL,15
8528,11/25/1998,A Law School Where Jesus Is the Ultimate Case Study,christian law school,6
8529,11/25/1998,Protesters Say Politics Dictate Parade Permits,parade permits in NYC,2
8530,11/26/1998,Author Says Photo Confirms Mt. McKinley Hoax in 1908,photo found to be a hoax,28
8531,11/26/1998,BASEBALL;,baseball deal,29
8532,11/26/1998,Exxon-Mobil Talks,exxon-mobil to merge,15
8533,11/26/1998,A Marrow Alternative,research on bone marrow,3
8534,11/26/1998,Bird-Watching,buying a turkey,28
8535,11/26/1998,Impeachment Panel Starts Work On 3 Articles Against President,impeachment panel begins work,20
8536,11/26/1998,ADMIRAL ACCUSED OVER CONTRACTS,admiral relieved of duties over improper contracts,16
8537,11/26/1998,KEVORKIAN FACES A MURDER CHARGE IN DEATH ON VIDEO,kevorikian charged in euthanasia case,2
8538,11/26/1998,THE PINOCHET RULING: THE OVERVIEW;,british court ruling on pinochet,19
8539,11/26/1998,YUCATAN STRONGMAN: A SPECIAL REPORT;,drug fight in mexico,19
8540,11/27/1998,Pinochet's Case Moves to Realm Of Blair's Aides,pinochet's efforts to escape extradition,19
8541,11/27/1998,Employees Facing Steep Increases in Health Costs,health costs on the rise,3
8542,11/27/1998,CLINTON CENSURE GAINS AS OPTION,possibility of censuring clinton,20
8543,11/27/1998,Shoppers May Find A Shortage of Help Over the Holidays,holiday employees needed,5
8544,11/27/1998,"COMPUTER TROUBLE LOOMS FOR STATES IN 2000, U.S. FINDS",year 2000 computer problems,17
8545,11/27/1998,The Thanksgiving Parade That Could -- and Did,thanksgiving parade,28
8546,11/27/1998,Hope and a Beginning,end of hostility between ireland and britain,19
8547,11/27/1998,Behind Exxon-Mobil Talks Lies a Humbled Oil Industry,oil industry,8
8548,11/28/1998,COMING ON SUNDAY: TABLOID HISTORY,tabloid history,28
8549,11/28/1998,Exxon-Mobil Talks Confirmed; Regulators Poised,exxon mobile merger,15
8550,11/28/1998,A POLICY STRUGGLE STIRS WITHIN NATO,NATO policy dispute,16
8551,11/28/1998,Getting a Jump on Christmas,holiday shopping season begins,28
8552,11/28/1998,TESTING OF A PRESIDENT: THE OVERVIEW;,clinton responds to questions,20
8553,11/28/1998,F.D.A. WILL REQUIRE COMPANIES TO TEST DRUGS ON CHILDREN,FDA drug testing and children,3
8554,11/28/1998,Israel Is Rethinking Its Stand on Lebanon,israel and lebanon occupation,19
8555,11/28/1998,A New York Symbol of Openness Battens Its Doors,new york city hall opens,24
8556,11/28/1998,"Urging Millennial Penitence, Pope Is Offering Indulgences",pope offers indulgences,31
8557,11/29/1998,Pestilence Follows Storm in Central America,cholera after a hurricane in nicaragua,19
8558,11/29/1998,UNREGULATED CASH FLOWS INTO HANDS OF P.A.C.'S FOR 2000,raising money for 2000 election,20
8559,11/29/1998,Public Schools Confronting Issue of Racial Preferences,public schools and racial preference,6
8560,11/29/1998,Turkey Gives Way to Trees,christmas season arrives,28
8561,11/29/1998,Purges Hint at Beginning of the End for Milosevic,purges in yugoslavia,19
8562,11/29/1998,Takeover Is Ordered At Troubled Union; Leader Steps Aside,union to be taken over,5
8563,11/29/1998,"In Quest for the Perfect Look, More Girls Choose the Scalpel",girls and plastic surgery,3
8564,11/29/1998,Jewish Groups Fight for Spoils Of Swiss Case,jewish groups trying to get money from swiss banks from WW2,19
8565,11/30/1998,"Even in Vermont, the Ardor For Wood Stoves Has Cooled",wood stoves in vermont,8
8566,11/30/1998,"For Oil Workers, Merger Is Just Another Word for More Layoffs",oil merger and layoffs,8
8567,11/30/1998,Burying the Past: War Guilt Haunts Japan,war guilt in japan,19
8568,11/30/1998,CLINTON PROPOSES AID FOR DISABLED RETURNING TO JOBS,clinton proposes aid for people with disabilities,2
8569,11/30/1998,"In Suburbs, Deer Sprawl Meets the Deerslayer",hunting deer in suburbs,4
8570,11/30/1998,Soviet Mindset Blocks Capitalism on Farms,capitalism in russian farms,19
8571,12/1/1998,Justices Express Misgivings Over Reviewing Census Plan,Justices have misgivings over Clinton's Census plan,20
8572,12/1/1998,Reno Delays Decision,Attorney General Reno postpones investigation of Harold Ickes,16
8573,12/1/1998,Drug Aid for Colombia,Anti-Drug Money to Colombia,12
8574,12/1/1998,A Merger Is Announced,wedding and warm weather in New York,26
8575,12/1/1998,Hospitals Prohibited From Delaying Care,Hospitals Prohibited from Delaying Care when asking about insurance coverage,3
8576,12/1/1998,THE MASKING OF A MILITANT: A special report.;,former CIA agent proven untrustworthy,16
8577,12/1/1998,"For More Textbooks, a Shift From Printed Page to Screen",Higher Education:  On-line Textbooks,6
8578,12/1/1998,VACCO ENDS FIGHT ON BALLOT COUNT IN RE-ELECTION BID,New York Attorney General elections,24
8579,12/1/1998,Separatist Premier Keeps Control In Quebec's Provincial Election,Canada: Quebec's Provinicial Election,19
8580,12/1/1998,JUDICIARY PANEL PLANS TO EXAMINE CAMPAIGN FINANCE,Impeachment:  campaign finance also inquired,20
8581,12/2/1998,TESTING OF A PRESIDENT: THE SCENE;,Impeachment:  talking about perjury,20
8582,12/2/1998,More About the Oil Merger,The Oil Merger of Exxon and Mobil,15
8583,12/2/1998,2 in Would-Be Opposition Party Arrested in Chinese Crackdown,China:  opposition party arrested,19
8584,12/2/1998,U.S. Will Release Files on Crimes Under Pinochet,"US to declassify files about Chile's crimes under Pinochet, human rights compromised",19
8585,12/2/1998,"2 Decades On, Miami Endorses Gay Rights",gay rights in Miami,2
8586,12/2/1998,A Bin Laden Agent Left Angry Record Of Gripes and Fears,terrorism: terrorist writes about fears for Bin Laden,16
8587,12/2/1998,BIG OIL: THE OVERVIEW;,Exxon and Mobil oil merger,15
8588,12/2/1998,PANEL CAN'T LINK BREAST IMPLANTS TO ANY DISEASES,research panel:  Breast Implants not linked to disease,3
8589,12/3/1998,Boeing Plan for Job Cutbacks Is Bitter Pill for Seattle Area,Boeing Company Stock Plummets,15
8590,12/3/1998,"At Sotheby's, Sacred and Secular Clash",Native American Art Exhibit,28
8591,12/3/1998,ESPY IS ACQUITTED ON GIFTS RECEIVED WHILE IN CABINET,Cabinet Scandal:  Agriculture Secretary acquitted of corruption charges,20
8592,12/3/1998,GIULIANI STIRS UP BORDER TENSIONS WITH TRASH PLAN,"City Garbage, controversy over where to dump and borders",7
8593,12/3/1998,TESTING OF A PRESIDENT: THE OVERVIEW;,impeachment:  house republicans want to bring impeachment to quick vote,20
8594,12/3/1998,Bank Sees Blundering,"banks recognize blunders causing interest rates to soar, IMF",19
8595,12/3/1998,Union Officer Is Said to Admit To Vote Fixing,union officer fixes vote,5
8596,12/3/1998,Bosnian Serb General Is Arrested By Allied Force in Genocide Case,Bosnia:  general is arrested in genocide case,19
8597,12/3/1998,Record Highs Put a Spring Into Late Fall,unusually warm weather in New York,26
8598,12/4/1998,"AIDS Is Everywhere, but Africa Looks Away",AIDS epidemic in South Africa,19
8599,12/4/1998,"EUROPEAN BANKS, ACTING IN UNISON, CUT INTEREST RATE",European Banks work together to cut interest rates,19
8600,12/4/1998,"Outside Capital, Republican Objections to Inquiry","impeachment:  despite public sentiment, republicans push for vote for impeachment",20
8601,12/4/1998,REPUBLICANS DROP BID TO INVESTIGATE CLINTON CAMPAIGN,impeachment:  republicans drop investigation into finance issues as part of impeachment,20
8602,12/4/1998,Union Leader's Easygoing Style Blamed in Part for His Fall,union leader allowed associates to give themselves raises among other things,5
8603,12/4/1998,Legislators Raising Questions on Terms Of Patriots Stadium,New Football Stadium for Patriots,29
8604,12/5/1998,Bradley Makes a Move,Democratic Senator sets up committee for presidential run,20
8605,12/5/1998,Moderates on the Spot,Impeachment:  Republicans choice for impeachment,20
8606,12/5/1998,74 Degrees,New York City Weather Unusually Warm,26
8607,12/5/1998,Everglades Comeback Threatens Way of Life,Everglades National Park,21
8608,12/5/1998,C.I.A. Is Focus of Inquiry in China Rocket Case,CIA:  questions on transfer of rocket technology to China,16
8609,12/5/1998,CLINTON LAWYERS DEMANDING 3 DAYS FOR HIS DEFENSE,Impeachment:  Clinton's lawyers demand time for defense,20
8610,12/5/1998,A Drug Maker Is Said to Face A Suit on Prices,"Drug maker triples prices, faces lawsuit",3
8611,12/5/1998,JUMP IN NOVEMBER SENT WORK FORCE TO A RECORD HIGH,unemployment rate goes close to lowest in three decades,1
8612,12/5/1998,"Girl Awaits Father's 2d Kidney, And Decision by Medical Ethicists",Medical Ethics:  man wants to donate his only kidney,3
8613,12/6/1998,THE NEEDIEST CASES -- Portrait of the Young as Homeless,New York City's Homeless Youth,14
8614,12/6/1998,"American Colleges Begin to Ask, Where Have All the Men Gone?",women's population in colleges,6
8615,12/6/1998,Berlin Journal;,Berlin:  the use of English,19
